,,ret_1d,ret_5d,ret_20d
micro|SC 13D,N,11.0,11.0,10.0
micro|SC 13D,mean,0.0048203660011454375,0.03779350730452851,0.1453319704125682
micro|SC 13D,median,-0.015075362435176154,-0.1111110921211802,-0.03971182559280029
micro|SC 13D,stdev,0.16903377604475367,0.4821390031152999,0.47328185871078704
micro|SC 13D,hit_%_>0,27.27272727272727,27.27272727272727,40.0
micro|SC 13D,p25,-0.08058967228012281,-0.14360359680912899,-0.10029590398303045
micro|SC 13D,p75,0.0071828543065681205,-0.011000940046004992,0.11574126476606367
micro|SC 13D/A,N,69.0,69.0,62.0
micro|SC 13D/A,mean,-0.013574859754874902,-0.050573953550666795,-0.028207891506169848
micro|SC 13D/A,median,-0.007469647378254951,-0.03899721991108962,-0.043527837956839566
micro|SC 13D/A,stdev,0.12954822641942643,0.14677445688715668,0.26262652258411623
micro|SC 13D/A,hit_%_>0,28.985507246376812,21.73913043478261,35.483870967741936
micro|SC 13D/A,p25,-0.03061227592911475,-0.09638552399916434,-0.12088967456717464
micro|SC 13D/A,p75,0.011627895694091173,0.0,0.04173081083410779
micro|SC 13G,N,17.0,17.0,16.0
micro|SC 13G,mean,-0.020716584135356094,-0.056885742187830615,-0.029194260386842044
micro|SC 13G,median,-0.012820501064172207,-0.03643721179224069,-0.08355193005141864
micro|SC 13G,stdev,0.06862721333826907,0.1544382584051246,0.3190184901812479
micro|SC 13G,hit_%_>0,41.17647058823529,29.411764705882355,37.5
micro|SC 13G,p25,-0.07619040698961566,-0.12380946812445637,-0.1735827161322715
micro|SC 13G,p75,0.025477681857751344,0.008333350407580875,0.040757075961958045
micro|SC 13G/A,N,24.0,24.0,22.0
micro|SC 13G/A,mean,0.009324089903675703,-0.014579553022414394,-0.07231434966873905
micro|SC 13G/A,median,-0.0004480389345236091,-0.06491839748422373,-0.10654656128233592
micro|SC 13G/A,stdev,0.0972283810378986,0.20361965921679448,0.2223198025149721
micro|SC 13G/A,hit_%_>0,45.83333333333333,37.5,40.909090909090914
