,,aret_1d,aret_5d,aret_20d
SC 13D,N,17.0,17.0,14.0
SC 13D,mean,0.003006553975962657,0.014293220851995097,0.13464432961142325
SC 13D,median,-0.0068717184370280515,-0.07788224962835422,0.007460579372532639
SC 13D,stdev,0.13378811781668057,0.3837664562410873,0.3990275354733972
SC 13D,hit_%_>0,35.294117647058826,23.52941176470588,50.0
SC 13D,p25,-0.02657960943888038,-0.11560656434732852,-0.05454605254003089
SC 13D,p75,0.0005520393197091522,-0.00940488403783224,0.11415321233714756
SC 13D/A,N,175.0,176.0,152.0
SC 13D/A,mean,-0.008308276541526551,-0.025595279751995027,-0.004437827646575567
SC 13D/A,median,-0.004975018894143091,-0.0186166379380851,-0.01162114052969071
SC 13D/A,stdev,0.08513121316053322,0.10627537684195275,0.18512319577618083
SC 13D/A,hit_%_>0,36.57142857142857,28.97727272727273,40.78947368421053
SC 13D/A,p25,-0.014550640648968827,-0.05079440638773619,-0.07866474984693861
SC 13D/A,p75,0.005892543266475481,0.004146994404387816,0.0415529822345968
SC 13G,N,50.0,50.0,42.0
SC 13G,mean,0.002316020377257342,0.007381785841227113,0.12659259663805572
SC 13G,median,-0.00099895972287245,-0.0013942767620719332,-0.012718508388214311
SC 13G,stdev,0.08533935328103173,0.16671153272485292,0.7934637416024565
SC 13G,hit_%_>0,48.0,50.0,45.23809523809524
SC 13G,p25,-0.022106981232186962,-0.03786068368850931,-0.07255262080397523
SC 13G,p75,0.008515595287976185,0.041885000560913016,0.04723939097732727
SC 13G/A,N,82.0,82.0,76.0
SC 13G/A,mean,0.0014656444034233018,-0.004940735378650836,0.00990867571038728
SC 13G/A,median,0.00016037667350149443,-0.01776787089830395,-0.039715369273371603
SC 13G/A,stdev,0.059621788015107625,0.13095326456913892,0.2505370222004552
SC 13G/A,hit_%_>0,51.21951219512195,35.36585365853659,38.15789473684211
SC 13G/A,p25,-0.021594521491397706,-0.07431327917460304,-0.11132264474864631
SC 13G/A,p75,0.015138164732133641,0.011561989764431568,0.04469433123543215
