,,peak_gain_20d,max_drop_20d
micro|SC 13D,N,11.0,11.0
micro|SC 13D,mean,0.2593131529199098,-0.11521680659117063
micro|SC 13D,median,0.08542717360766239,-0.13620067427167826
micro|SC 13D,stdev,0.45817741082840835,0.21179150677547787
micro|SC 13D,hit_%_>0,81.81818181818183,9.090909090909092
micro|SC 13D,p25,0.01160350427092205,-0.20658013841863843
micro|SC 13D,p75,0.21564876280265344,-0.10774733818647375
micro|SC 13D/A,N,69.0,69.0
micro|SC 13D/A,mean,0.13528195092922504,-0.14685347490303713
micro|SC 13D/A,median,0.049723776919236684,-0.10204084413045411
micro|SC 13D/A,stdev,0.2802928810489514,0.1386793163251491
micro|SC 13D/A,hit_%_>0,69.56521739130434,2.898550724637681
micro|SC 13D/A,p25,-0.0010361943629840775,-0.20512821370262968
micro|SC 13D/A,p75,0.16538464712673506,-0.053885961103131486
micro|SC 13G,N,17.0,17.0
micro|SC 13G,mean,0.25326677949486937,-0.17515592665077462
micro|SC 13G,median,0.11764703304297397,-0.12527958179992493
micro|SC 13G,stdev,0.4684335975871621,0.14512514364057139
micro|SC 13G,hit_%_>0,82.35294117647058,11.76470588235294
micro|SC 13G,p25,0.014593316303477932,-0.20559435044648044
micro|SC 13G,p75,0.38625597049304394,-0.10828029975440612
micro|SC 13G/A,N,24.0,24.0
micro|SC 13G/A,mean,0.1696252687891111,-0.19182966457127867
micro|SC 13G/A,median,0.01805679582198294,-0.18416884940470696
micro|SC 13G/A,stdev,0.292348667030515,0.15061949700496144
micro|SC 13G/A,hit_%_>0,70.83333333333334,8.333333333333332
micro|SC 13G/A,p25,-0.007846146363478468,-0.3075542186043506
micro|SC 13G/A,p75,0.27951788693386403,-0.0922245967641048
mid_large|SC 13D,N,5.0,5.0
mid_large|SC 13D,mean,0.012281590016372723,-0.11406161584719718
mid_large|SC 13D,median,0.02306681423942125,-0.08366535151224819
mid_large|SC 13D,stdev,0.035005927281558775,0.07335560004715426
mid_large|SC 13D,hit_%_>0,60.0,0.0
mid_large|SC 13D,p25,-0.01944768641792649,-0.1517891242398426
mid_large|SC 13D,p75,0.024926213007116838,-0.05608393234861431
mid_large|SC 13D/A,N,104.0,104.0
mid_large|SC 13D/A,mean,0.04626054368689877,-0.0941436484751148
mid_large|SC 13D/A,median,0.0049751888499124375,-0.07228412881487911
mid_large|SC 13D/A,stdev,0.13285803788084852,0.07793462404496104
mid_large|SC 13D/A,hit_%_>0,56.730769230769226,5.769230769230769
mid_large|SC 13D/A,p25,-0.009589931404917817,-0.13043335300452627
mid_large|SC 13D/A,p75,0.047169275893827856,-0.04813241958022385
mid_large|SC 13G,N,33.0,33.0
mid_large|SC 13G,mean,0.21060106874762782,-0.06305224548058141
mid_large|SC 13G,median,0.03211678208833435,-0.06434038647961615
mid_large|SC 13G,stdev,0.8546549987266635,0.09519828131188943
mid_large|SC 13G,hit_%_>0,78.78787878787878,9.090909090909092
mid_large|SC 13G,p25,0.008514097953236544,-0.10560887931129759
mid_large|SC 13G,p75,0.08333332639852875,-0.01220703152284841
mid_large|SC 13G/A,N,57.0,57.0
mid_large|SC 13G/A,mean,0.13179599391865116,-0.09826636876773838
mid_large|SC 13G/A,median,0.020153465173433416,-0.08933001737596158
mid_large|SC 13G/A,stdev,0.40600857238528426,0.07465221226000918
mid_large|SC 13G/A,hit_%_>0,71.9298245614035,5.263157894736842
mid_large|SC 13G/A,p25,-0.005250108292424449,-0.1418020787113078
mid_large|SC 13G/A,p75,0.04943015483890645,-0.05272099071200487
unknown|SC 13D,N,1.0,1.0
unknown|SC 13D,mean,0.3104869168031694,-0.0029962517385804244
unknown|SC 13D,median,0.3104869168031694,-0.0029962517385804244
unknown|SC 13D,stdev,,
unknown|SC 13D,hit_%_>0,100.0,0.0
unknown|SC 13D,p25,0.3104869168031694,-0.0029962517385804244
unknown|SC 13D,p75,0.3104869168031694,-0.0029962517385804244
unknown|SC 13D/A,N,3.0,3.0
unknown|SC 13D/A,mean,0.010967858144936948,-0.013853979993379043
unknown|SC 13D/A,median,0.016157242157069707,-0.016548466910243143
unknown|SC 13D/A,stdev,0.01055927051695597,0.011744843915681442
unknown|SC 13D/A,hit_%_>0,66.66666666666666,0.0
unknown|SC 13D/A,p25,0.007487628559054216,-0.020282950621551055
unknown|SC 13D/A,p75,0.01704277973688606,-0.008772252823639082
unknown|SC 13G/A,N,1.0,1.0
unknown|SC 13G/A,mean,-0.026548672566371723,-0.08849557522123896
unknown|SC 13G/A,median,-0.026548672566371723,-0.08849557522123896
unknown|SC 13G/A,stdev,,
unknown|SC 13G/A,hit_%_>0,0.0,0.0
unknown|SC 13G/A,p25,-0.026548672566371723,-0.08849557522123896
unknown|SC 13G/A,p75,-0.026548672566371723,-0.08849557522123896
