,,peak_gain_20d,max_drop_20d
SC 13D,N,17.0,17.0
SC 13D,mean,0.1896670322943554,-0.10827583549867315
SC 13D,median,0.024926213007116838,-0.1327433422930192
SC 13D,stdev,0.3815633041487997,0.17354064987778547
SC 13D,hit_%_>0,76.47058823529412,5.88235294117647
SC 13D,p25,0.010135125338900819,-0.19607840387328912
SC 13D,p75,0.12702703312246166,-0.05608393234861431
SC 13D/A,N,176.0,176.0
SC 13D/A,mean,0.08055940188630005,-0.11343972244148658
SC 13D/A,median,0.014515752500066204,-0.08083336156771442
SC 13D/A,stdev,0.20707709480993852,0.10899968159894222
SC 13D/A,hit_%_>0,61.93181818181818,4.545454545454546
SC 13D/A,p25,-0.007546671501030611,-0.14536555771607124
SC 13D/A,p75,0.10017931776974909,-0.04813241958022385
SC 13G,N,50.0,50.0
SC 13G,mean,0.2251074104016899,-0.10116749707844709
SC 13G,median,0.043587714143874634,-0.08233256747242246
SC 13G,stdev,0.7410035993215591,0.12519308401407114
SC 13G,hit_%_>0,80.0,10.0
SC 13G,p25,0.008690326898572298,-0.12498158111149413
SC 13G,p75,0.1667468661997174,-0.03774433114916237
SC 13G/A,N,82.0,82.0
SC 13G/A,mean,0.14093694428945622,-0.1255315920084514
SC 13G/A,median,0.019377062621316665,-0.10273802448156716
SC 13G/A,stdev,0.37267022057717974,0.11016845531083493
SC 13G/A,hit_%_>0,70.73170731707317,6.097560975609756
SC 13G/A,p25,-0.005312761618661205,-0.18362547575481405
SC 13G/A,p75,0.061714776861045983,-0.056145629556723003
