accession_number,filed_as_of_date,date_of_event,conformed_submission_type,issuer_cik,issuer_name,issuer_cusip,reporting_person_cik,reporting_person_name,score_total,grade,score_base,score_direction_adj,score_form_type,score_percent_of_class,score_rpt_type,score_source_funds,score_activist,score_amend_no,score_purpose,score_item6,ticker,ticker_match_method,ticker_match_score,indicator_calc_date,price_at_filing,rsi_14,macd,macd_signal,macd_histogram,sma_20,sma_50,sma_200,price_vs_sma20_pct,price_vs_sma50_pct,price_vs_sma200_pct,bb_upper,bb_middle,bb_lower,bb_position_pct,atr_14,volume,avg_volume_20,volume_ratio
0001062993-25-000483,20250107,12/31/2024,SCHEDULE 13G/A,2098,Acme United Corporation,004816104,1342857,North Star Investment Management Corporation,28,D,28,0,2,9,12,0,0,1,4,0,ACU,CIK,100,2025-01-08,35.36,61.73,-1.63,-1.46,-0.17,37.95,40.02,,-6.82,-11.64,,43.51,37.95,32.39,26.71,1.2,9200,9265,0.99
0001493152-25-003369,20250123,12/31/2024,SCHEDULE 13G/A,2186,BK Technologies Corporation,05587G203,1131362,AIGH Capital Management LLC,18,D,18,0,2,9,2,0,0,1,4,0,BKTI,CIK,100,2025-01-24,32.51,54.6,-0.37,-0.28,-0.09,33.4,33.63,,-2.66,-3.33,,36.96,33.4,29.84,37.5,2.2,17400,29110,0.6
0001493152-25-003369,20250123,12/31/2024,SCHEDULE 13G/A,2186,BK Technologies Corporation,05587G203,1131362,Orin Hirschman,18,D,18,0,2,9,2,0,0,1,4,0,BKTI,CIK,100,2025-01-24,32.51,54.6,-0.37,-0.28,-0.09,33.4,33.63,,-2.66,-3.33,,36.96,33.4,29.84,37.5,2.2,17400,29110,0.6
0000932471-25-000206,20250131,12/31/2024,SCHEDULE 13G/A,4127,Skyworks Solutions Inc,83088M102,102909,The Vanguard Group,31,D,31,0,2,12,12,0,0,1,4,0,SWKS,CIK,100,2025-01-31,85.18,24.39,0.01,0.44,-0.42,87.34,85.49,,-2.48,-0.37,,90.4,87.34,84.29,14.51,2.24,2782700,2428690,1.15
0001445546-25-000551,20250117,12/31/2024,SCHEDULE 13G/A,5094,Invesco Bond Fund,46132L107,1184765,First Trust Advisors L.P.,33,D,33,0,2,14,12,0,0,1,4,0,VBF,CIK,100,2025-01-17,14.64,58.63,-0.07,-0.1,0.02,14.6,14.8,,0.27,-1.08,,14.82,14.6,14.37,59.96,0.19,11600,29140,0.4
0001445546-25-000551,20250117,12/31/2024,SCHEDULE 13G/A,5094,Invesco Bond Fund,46132L107,1184765,First Trust Portfolios L.P.,23,D,23,0,2,14,2,0,0,1,4,0,VBF,CIK,100,2025-01-17,14.64,58.63,-0.07,-0.1,0.02,14.6,14.8,,0.27,-1.08,,14.82,14.6,14.37,59.96,0.19,11600,29140,0.4
0001445546-25-000551,20250117,12/31/2024,SCHEDULE 13G/A,5094,Invesco Bond Fund,46132L107,1184765,The Charger Corporation,29,D,29,0,2,14,8,0,0,1,4,0,VBF,CIK,100,2025-01-17,14.64,58.63,-0.07,-0.1,0.02,14.6,14.8,,0.27,-1.08,,14.82,14.6,14.37,59.96,0.19,11600,29140,0.4
0001040188-25-000015,20250128,12/31/2024,SCHEDULE 13G,6845,"APOGEE ENTERPRISES, INC.",037598109,1040188,"Victory Capital Management, Inc.",32,D,32,0,6,6,12,0,0,4,4,0,APOG,CIK,100,2025-01-29,51.46,53.15,-5.06,-5.3,0.24,57.24,69.41,,-10.09,-25.86,,72.0,57.24,42.48,30.43,2.43,203600,331080,0.61
0000902664-25-000071,20250107,12/31/2024,SCHEDULE 13G/A,8063,Astronics Corporation,046433207,1821796,Patricia Dowden,18,D,18,0,2,0,10,0,0,2,4,0,ATRO,CIK,100,2025-01-08,15.6,61.57,-0.28,-0.31,0.03,16.02,16.72,,-2.62,-6.7,,16.57,16.02,15.48,11.01,0.53,207900,271140,0.77
0001027796-25-000006,20250123,12/31/2024,SCHEDULE 13G,8858,AVNET INC,053807103,1027796,PZENA INVESTMENT MANAGEMENT LLC,35,D,35,0,6,9,12,0,0,4,4,0,AVT,CIK,100,2025-01-24,52.65,57.17,0.17,-0.13,0.31,51.38,51.98,,2.47,1.29,,53.38,51.38,49.39,81.72,0.99,505400,486245,1.04
0000932471-25-000103,20250130,12/31/2024,SCHEDULE 13G/A,8858,Avnet Inc,053807103,102909,The Vanguard Group,31,D,31,0,2,12,12,0,0,1,4,0,AVT,CIK,100,2025-01-31,50.28,40.75,-0.18,-0.08,-0.11,51.24,51.87,,-1.88,-3.07,,53.27,51.24,49.2,26.44,1.23,828900,670225,1.24
0001104659-25-005362,20250122,01/22/2025,SCHEDULE 13D/A,9984,Barnes Group Inc.,067806109,1929389,Irenic Capital Management LP,44,C,44,0,12,6,2,6,0,2,16,0,"""B""",CIK,100,2025-01-23,15.65,54.87,-0.21,-0.31,0.1,15.54,16.34,,0.7,-4.23,,15.88,15.54,15.21,65.41,0.42,27101200,16040790,1.69
0000354204-25-000494,20250123,12/31/2024,SCHEDULE 13G/A,9984,Barnes Group Inc,067806109,354204,Dimensional Fund Advisors LP,19,D,19,0,2,0,12,0,0,1,4,0,"""B""",CIK,100,2025-01-24,15.95,54.87,-0.17,-0.28,0.11,15.57,16.3,,2.47,-2.12,,15.94,15.57,15.2,102.02,0.43,22369400,16371585,1.37
0001213900-25-007254,20250128,01/28/2025,SCHEDULE 13D/A,10048,BARNWELL INDUSTRIES INC,068221100,1492137,MRMP-Managers LLC,64,B,64,0,12,14,2,1,18,1,16,0,BRN,CIK,100,2025-01-29,1.83,52.63,0.06,0.04,0.02,1.68,1.65,,8.93,10.91,,1.98,1.68,1.37,75.41,0.16,49400,97065,0.51
0001213900-25-007254,20250128,01/28/2025,SCHEDULE 13D/A,10048,BARNWELL INDUSTRIES INC,068221100,1797839,Ned L. Sherwood Revocable Trust,50,C,50,0,12,0,2,1,18,1,16,0,BRN,CIK,100,2025-01-29,1.83,52.63,0.06,0.04,0.02,1.68,1.65,,8.93,10.91,,1.98,1.68,1.37,75.41,0.16,49400,97065,0.51
0001213900-25-004780,20250121,01/21/2025,SCHEDULE 13D/A,10048,"BARNWELL INDUSTRIES, INC.",068221100,902749,MRMP-Managers LLC,64,B,64,0,12,14,2,1,18,1,16,0,BRN,CIK,100,2025-01-22,1.9,46.48,0.04,-0.0,0.04,1.6,1.65,,18.75,15.15,,1.85,1.6,1.35,110.0,0.15,246900,93685,2.64
0001213900-25-004780,20250121,01/21/2025,SCHEDULE 13D/A,10048,"BARNWELL INDUSTRIES, INC.",068221100,902749,Ned L. Sherwood,72,B,72,0,12,14,10,1,18,1,16,0,BRN,CIK,100,2025-01-22,1.9,46.48,0.04,-0.0,0.04,1.6,1.65,,18.75,15.15,,1.85,1.6,1.35,110.0,0.15,246900,93685,2.64
0001213900-25-007254,20250128,01/28/2025,SCHEDULE 13D/A,10048,BARNWELL INDUSTRIES INC,068221100,902749,Ned L. Sherwood,72,B,72,0,12,14,10,1,18,1,16,0,BRN,CIK,100,2025-01-29,1.83,52.63,0.06,0.04,0.02,1.68,1.65,,8.93,10.91,,1.98,1.68,1.37,75.41,0.16,49400,97065,0.51
0001213900-25-004780,20250121,01/21/2025,SCHEDULE 13D/A,10048,"BARNWELL INDUSTRIES, INC.",068221100,902749,Ned L. Sherwood Revocable Trust,50,C,50,0,12,0,2,1,18,1,16,0,BRN,CIK,100,2025-01-22,1.9,46.48,0.04,-0.0,0.04,1.6,1.65,,18.75,15.15,,1.85,1.6,1.35,110.0,0.15,246900,93685,2.64
0001213900-25-000812,20250103,12/31/2024,SCHEDULE 13D/A,12239,Dominari Holdings Inc.,008875304,1538372,Anthony Hayes,75,B,75,0,12,12,10,5,18,2,16,0,DOMH,CIK,100,2025-01-03,0.91,48.21,-0.14,-0.11,-0.03,1.15,1.31,,-20.77,-30.44,,1.57,1.15,0.74,20.62,0.13,202900,52970,3.83
0001213900-25-000797,20250103,12/31/2024,SCHEDULE 13D/A,12239,DOMINARI HOLDINGS INC.,008875304,1856536,Kyle Michael Wool,76,B,76,0,12,14,10,5,18,1,16,0,DOMH,CIK,100,2025-01-03,0.91,48.21,-0.14,-0.11,-0.03,1.15,1.31,,-20.77,-30.44,,1.57,1.15,0.74,20.62,0.13,202900,52970,3.83
0001213900-25-000797,20250103,12/31/2024,SCHEDULE 13D/A,12239,DOMINARI HOLDINGS INC.,008875304,1933417,Soo Yu,76,B,76,0,12,14,10,5,18,1,16,0,DOMH,CIK,100,2025-01-03,0.91,48.21,-0.14,-0.11,-0.03,1.15,1.31,,-20.77,-30.44,,1.57,1.15,0.74,20.62,0.13,202900,52970,3.83
0000932471-25-000126,20250130,12/31/2024,SCHEDULE 13G,14846,BRT Apartments Corp,055645303,102909,The Vanguard Group,32,D,32,0,6,6,12,0,0,4,4,0,BRT,CIK,100,2025-01-31,16.11,53.25,-0.19,-0.21,0.02,16.29,17.04,,-1.11,-5.46,,16.81,16.29,15.78,31.98,0.38,23000,28000,0.82
0001332596-25-000005,20250113,01/08/2025,SCHEDULE 13D/A,15847,BUTLER NATIONAL CORP,123720104,1332596,Daly Joseph Patrick,68,B,68,0,12,6,10,5,18,1,16,0,BUKS,CIK,100,2025-01-14,1.77,60.0,0.02,0.04,-0.02,1.79,1.63,,-1.12,8.59,,1.91,1.79,1.67,41.67,0.1,180800,66190,2.73
0001332596-25-000005,20250113,01/08/2025,SCHEDULE 13D/A,15847,BUTLER NATIONAL CORP,123720104,1332596,EssigPR Inc.,66,B,66,0,12,6,8,5,18,1,16,0,BUKS,CIK,100,2025-01-14,1.77,60.0,0.02,0.04,-0.02,1.79,1.63,,-1.12,8.59,,1.91,1.79,1.67,41.67,0.1,180800,66190,2.73
0000932471-25-000130,20250130,12/31/2024,SCHEDULE 13G/A,16918,Constellation Brands Inc,21036P108,102909,The Vanguard Group,28,D,28,0,2,9,12,0,0,1,4,0,STZ,CIK,100,2025-01-31,175.18,45.79,-10.61,-11.46,0.85,186.41,210.93,,-6.02,-16.95,,218.75,186.41,154.07,32.64,5.14,2190500,2848920,0.77
0001027796-25-000005,20250123,12/31/2024,SCHEDULE 13G,18498,GENESCO INC,371532102,1027796,PZENA INVESTMENT MANAGEMENT LLC,35,D,35,0,6,9,12,0,0,4,4,0,GCO,CIK,100,2025-01-24,42.78,75.42,0.92,1.05,-0.13,41.96,38.62,,1.95,10.77,,43.8,41.96,40.12,72.28,1.91,204500,199190,1.03
0000861177-25-000003,20250124,12/31/2024,SCHEDULE 13G,21076,CLOROX CO /DE/,189054109,861177,"UBS AM, a distinct business unit of UBS ASSET MANAGEMENT AMERICAS LLC",31,D,31,0,6,9,8,0,0,4,4,0,CLX,CIK,100,2025-01-24,151.83,55.91,-1.1,-1.25,0.15,152.94,156.29,,-0.73,-2.86,,156.7,152.94,149.18,35.19,2.69,948400,903380,1.05
0000932471-25-000088,20250130,12/31/2024,SCHEDULE 13G,23795,CTO Realty Growth Inc,22948Q101,102909,The Vanguard Group,35,D,35,0,6,9,12,0,0,4,4,0,CTO,CIK,100,2025-01-31,18.04,82.01,-0.01,-0.03,0.01,17.92,18.05,,0.67,-0.05,,18.31,17.92,17.54,64.99,0.35,205900,223695,0.92
0001539497-25-000136,20250123,01/23/2025,SCHEDULE 13D/A,26780,DANA INC,235825205,1034563,Icahn Enterprises Holdings L.P.,63,B,63,0,12,9,6,1,18,1,16,0,DAN,CIK,100,2025-01-24,14.84,61.02,0.67,0.42,0.25,11.9,10.95,,24.74,35.56,,13.84,11.9,9.96,125.88,0.63,5889200,1486735,3.96
0001539497-25-000136,20250123,01/23/2025,SCHEDULE 13D/A,26780,DANA INC,235825205,1080113,Beckton Corp.,65,B,65,0,12,9,8,1,18,1,16,0,DAN,CIK,100,2025-01-24,14.84,61.02,0.67,0.42,0.25,11.9,10.95,,24.74,35.56,,13.84,11.9,9.96,125.88,0.63,5889200,1486735,3.96
