accession_number,filed_as_of_date,date_of_event,conformed_submission_type,issuer_cik,issuer_name,issuer_cusip,reporting_person_cik,reporting_person_name,score_total,grade,score_base,score_direction_adj,score_form_type,score_percent_of_class,score_rpt_type,score_source_funds,score_activist,score_amend_no,score_purpose,score_item6,ticker,ticker_match_method,ticker_match_score
0001062993-25-000483,20250107,12/31/2024,SCHEDULE 13G/A,2098,Acme United Corporation,004816104,1342857,North Star Investment Management Corporation,28,D,28,0,2,9,12,0,0,1,4,0,ACU,CIK,100
0001493152-25-003369,20250123,12/31/2024,SCHEDULE 13G/A,2186,BK Technologies Corporation,05587G203,1131362,AIGH Capital Management LLC,18,D,18,0,2,9,2,0,0,1,4,0,BKTI,CIK,100
0001493152-25-003369,20250123,12/31/2024,SCHEDULE 13G/A,2186,BK Technologies Corporation,05587G203,1131362,Orin Hirschman,18,D,18,0,2,9,2,0,0,1,4,0,BKTI,CIK,100
0000932471-25-000206,20250131,12/31/2024,SCHEDULE 13G/A,4127,Skyworks Solutions Inc,83088M102,102909,The Vanguard Group,31,D,31,0,2,12,12,0,0,1,4,0,SWKS,CIK,100
0001445546-25-000551,20250117,12/31/2024,SCHEDULE 13G/A,5094,Invesco Bond Fund,46132L107,1184765,First Trust Advisors L.P.,33,D,33,0,2,14,12,0,0,1,4,0,VBF,CIK,100
0001445546-25-000551,20250117,12/31/2024,SCHEDULE 13G/A,5094,Invesco Bond Fund,46132L107,1184765,First Trust Portfolios L.P.,23,D,23,0,2,14,2,0,0,1,4,0,VBF,CIK,100
0001445546-25-000551,20250117,12/31/2024,SCHEDULE 13G/A,5094,Invesco Bond Fund,46132L107,1184765,The Charger Corporation,29,D,29,0,2,14,8,0,0,1,4,0,VBF,CIK,100
0001040188-25-000015,20250128,12/31/2024,SCHEDULE 13G,6845,"APOGEE ENTERPRISES, INC.",037598109,1040188,"Victory Capital Management, Inc.",32,D,32,0,6,6,12,0,0,4,4,0,APOG,CIK,100
0000902664-25-000071,20250107,12/31/2024,SCHEDULE 13G/A,8063,Astronics Corporation,046433207,1821796,Patricia Dowden,18,D,18,0,2,0,10,0,0,2,4,0,ATRO,CIK,100
0001027796-25-000006,20250123,12/31/2024,SCHEDULE 13G,8858,AVNET INC,053807103,1027796,PZENA INVESTMENT MANAGEMENT LLC,35,D,35,0,6,9,12,0,0,4,4,0,AVT,CIK,100
0000932471-25-000103,20250130,12/31/2024,SCHEDULE 13G/A,8858,Avnet Inc,053807103,102909,The Vanguard Group,31,D,31,0,2,12,12,0,0,1,4,0,AVT,CIK,100
0001104659-25-005362,20250122,01/22/2025,SCHEDULE 13D/A,9984,Barnes Group Inc.,067806109,1929389,Irenic Capital Management LP,44,C,44,0,12,6,2,6,0,2,16,0,"""B""",CIK,100
0000354204-25-000494,20250123,12/31/2024,SCHEDULE 13G/A,9984,Barnes Group Inc,067806109,354204,Dimensional Fund Advisors LP,19,D,19,0,2,0,12,0,0,1,4,0,"""B""",CIK,100
0001213900-25-007254,20250128,01/28/2025,SCHEDULE 13D/A,10048,BARNWELL INDUSTRIES INC,068221100,1492137,MRMP-Managers LLC,64,B,64,0,12,14,2,1,18,1,16,0,BRN,CIK,100
0001213900-25-007254,20250128,01/28/2025,SCHEDULE 13D/A,10048,BARNWELL INDUSTRIES INC,068221100,1797839,Ned L. Sherwood Revocable Trust,50,C,50,0,12,0,2,1,18,1,16,0,BRN,CIK,100
0001213900-25-004780,20250121,01/21/2025,SCHEDULE 13D/A,10048,"BARNWELL INDUSTRIES, INC.",068221100,902749,MRMP-Managers LLC,64,B,64,0,12,14,2,1,18,1,16,0,BRN,CIK,100
0001213900-25-004780,20250121,01/21/2025,SCHEDULE 13D/A,10048,"BARNWELL INDUSTRIES, INC.",068221100,902749,Ned L. Sherwood,72,B,72,0,12,14,10,1,18,1,16,0,BRN,CIK,100
0001213900-25-007254,20250128,01/28/2025,SCHEDULE 13D/A,10048,BARNWELL INDUSTRIES INC,068221100,902749,Ned L. Sherwood,72,B,72,0,12,14,10,1,18,1,16,0,BRN,CIK,100
0001213900-25-004780,20250121,01/21/2025,SCHEDULE 13D/A,10048,"BARNWELL INDUSTRIES, INC.",068221100,902749,Ned L. Sherwood Revocable Trust,50,C,50,0,12,0,2,1,18,1,16,0,BRN,CIK,100
0001213900-25-000812,20250103,12/31/2024,SCHEDULE 13D/A,12239,Dominari Holdings Inc.,008875304,1538372,Anthony Hayes,75,B,75,0,12,12,10,5,18,2,16,0,DOMH,CIK,100
0001213900-25-000797,20250103,12/31/2024,SCHEDULE 13D/A,12239,DOMINARI HOLDINGS INC.,008875304,1856536,Kyle Michael Wool,76,B,76,0,12,14,10,5,18,1,16,0,DOMH,CIK,100
0001213900-25-000797,20250103,12/31/2024,SCHEDULE 13D/A,12239,DOMINARI HOLDINGS INC.,008875304,1933417,Soo Yu,76,B,76,0,12,14,10,5,18,1,16,0,DOMH,CIK,100
0000932471-25-000126,20250130,12/31/2024,SCHEDULE 13G,14846,BRT Apartments Corp,055645303,102909,The Vanguard Group,32,D,32,0,6,6,12,0,0,4,4,0,BRT,CIK,100
0001332596-25-000005,20250113,01/08/2025,SCHEDULE 13D/A,15847,BUTLER NATIONAL CORP,123720104,1332596,Daly Joseph Patrick,68,B,68,0,12,6,10,5,18,1,16,0,BUKS,CIK,100
0001332596-25-000005,20250113,01/08/2025,SCHEDULE 13D/A,15847,BUTLER NATIONAL CORP,123720104,1332596,EssigPR Inc.,66,B,66,0,12,6,8,5,18,1,16,0,BUKS,CIK,100
0000932471-25-000130,20250130,12/31/2024,SCHEDULE 13G/A,16918,Constellation Brands Inc,21036P108,102909,The Vanguard Group,28,D,28,0,2,9,12,0,0,1,4,0,STZ,CIK,100
0001027796-25-000005,20250123,12/31/2024,SCHEDULE 13G,18498,GENESCO INC,371532102,1027796,PZENA INVESTMENT MANAGEMENT LLC,35,D,35,0,6,9,12,0,0,4,4,0,GCO,CIK,100
0000861177-25-000003,20250124,12/31/2024,SCHEDULE 13G,21076,CLOROX CO /DE/,189054109,861177,"UBS AM, a distinct business unit of UBS ASSET MANAGEMENT AMERICAS LLC",31,D,31,0,6,9,8,0,0,4,4,0,CLX,CIK,100
0000932471-25-000088,20250130,12/31/2024,SCHEDULE 13G,23795,CTO Realty Growth Inc,22948Q101,102909,The Vanguard Group,35,D,35,0,6,9,12,0,0,4,4,0,CTO,CIK,100
0001539497-25-000136,20250123,01/23/2025,SCHEDULE 13D/A,26780,DANA INC,235825205,1034563,Icahn Enterprises Holdings L.P.,63,B,63,0,12,9,6,1,18,1,16,0,DAN,CIK,100
0001539497-25-000136,20250123,01/23/2025,SCHEDULE 13D/A,26780,DANA INC,235825205,1080113,Beckton Corp.,65,B,65,0,12,9,8,1,18,1,16,0,DAN,CIK,100
0001539497-25-000136,20250123,01/23/2025,SCHEDULE 13D/A,26780,DANA INC,235825205,1257324,Icahn Enterprises G.P. Inc.,65,B,65,0,12,9,8,1,18,1,16,0,DAN,CIK,100
0001539497-25-000136,20250123,01/23/2025,SCHEDULE 13D/A,26780,DANA INC,235825205,1313666,Icahn Partners LP,60,B,60,0,12,6,6,1,18,1,16,0,DAN,CIK,100
0001539497-25-000136,20250123,01/23/2025,SCHEDULE 13D/A,26780,DANA INC,235825205,1322825,Icahn Offshore LP,54,C,54,0,12,0,6,1,18,1,16,0,DAN,CIK,100
0001539497-25-000136,20250123,01/23/2025,SCHEDULE 13D/A,26780,DANA INC,235825205,1322826,Icahn Onshore LP,60,B,60,0,12,6,6,1,18,1,16,0,DAN,CIK,100
0001539497-25-000136,20250123,01/23/2025,SCHEDULE 13D/A,26780,DANA INC,235825205,1322827,Icahn Partners Master Fund LP,54,C,54,0,12,0,6,1,18,1,16,0,DAN,CIK,100
0001539497-25-000136,20250123,01/23/2025,SCHEDULE 13D/A,26780,DANA INC,235825205,1412091,IPH GP LLC,59,C,59,0,12,9,2,1,18,1,16,0,DAN,CIK,100
0001539497-25-000136,20250123,01/23/2025,SCHEDULE 13D/A,26780,DANA INC,235825205,1412093,Icahn Capital LP,63,B,63,0,12,9,6,1,18,1,16,0,DAN,CIK,100
0001539497-25-000136,20250123,01/23/2025,SCHEDULE 13D/A,26780,DANA INC,235825205,921669,Carl C. Icahn,67,B,67,0,12,9,10,1,18,1,16,0,DAN,CIK,100
0001026505-25-000001,20250123,01/15/2024,SCHEDULE 13G/A,27093,U.S. GOLD CORP.,90291C201,1026505,AKIN THOMAS B,10,D,10,0,2,0,2,0,0,2,4,0,USAU,CIK,100
0001835328-25-000003,20250103,12/31/2024,SCHEDULE 13G/A,27093,U.S. GOLD CORP.,90291C201,1835328,AIMS Asset Management Sdn Bhd,18,D,18,0,2,9,2,0,0,1,4,0,USAU,CIK,100
